method,url,header,data,traffic_type,type
CONNECT,https://edge.microsoft.com,[],,Unknown,
CONNECT,https://www.bing.com,[],,Unknown,
CONNECT,https://edge.microsoft.com,[],,Unknown,
CONNECT,https://edge.microsoft.com,[],,Unknown,
CONNECT,https://edge.microsoft.com,[],,Unknown,
GET,http://47.97.114.24:5230/,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'Upgrade-Insecure-Requests', 'value': '1'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Accept', 'value': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/index-4ca98ffb.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/index-fc116902.css,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Accept', 'value': 'text/css,*/*;q=0.1'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
CONNECT,https://www.bing.com,[],,Unknown,
GET,http://47.97.114.24:5230/assets/de-2fe33d72.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/en-b8913c4c.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/es-ce0160c6.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/fr-60342672.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/hr-d0a3d81b.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/hi-50827581.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/it-056ff117.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/ja-8efa2167.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/ko-ee49a9e5.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
GET,http://47.97.114.24:5230/assets/nl-97e60b4e.js,"[{'name': 'Host', 'value': '47.97.114.24:5230'}, {'name': 'Proxy-Connection', 'value': 'keep-alive'}, {'name': 'User-Agent', 'value': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0'}, {'name': 'Origin', 'value': 'http://47.97.114.24:5230'}, {'name': 'Accept', 'value': '*/*'}, {'name': 'Referer', 'value': 'http://47.97.114.24:5230/assets/index-4ca98ffb.js'}, {'name': 'Accept-Encoding', 'value': 'gzip, deflate'}, {'name': 'Accept-Language', 'value': 'zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6'}]",,Unknown,
